id|kind|displayName|command|adapter|workflowLevel|routingLevel|installMode|limitation|recommendation|verifiedAt|evidence
kilo|runtime|Kilo Code|kilo|kilo|native|native-combo|agents-skills|Le combo dipendono dalla configurazione e dai provider disponibili; non vengono create dall'installer.|Usare Kilo quando servono agenti Markdown e combo nello stesso runtime.|2026-08-13|adapters/kilo/README.md
opencode|runtime|OpenCode|opencode|opencode|native|external-manual|agents-skills|AI Work OS installa gli agenti Markdown ma non configura automaticamente un router multiprovider.|Collegare un router compatibile se servono le quattro route logiche.|2026-08-13|adapters/opencode/README.md
pi|runtime|Pi|pi|pi|adapted|external-manual|prompts-skills|I ruoli sono esposti come prompt e skill, non come il set di agenti Markdown usato da Kilo e OpenCode.|Usare un router esterno se servono fallback e panel multiprovider.|2026-08-13|adapters/pi/README.md
codex|runtime|Codex|codex|codex|skill-only|external-manual|skills-only|La skill rende disponibile il workflow, ma l'installer non riproduce le combo multiprovider né modifica la configurazione nativa dei subagenti.|Usare Kilo per combo integrate oppure mantenere il routing esterno e verificato.|2026-08-13|adapters/codex/README.md
claude|runtime|Claude Code|claude|claude|skill-only|external-manual|skills-only|La skill rende disponibile il workflow, ma l'installer non riproduce le combo multiprovider né modifica la configurazione nativa dei subagenti.|Usare Kilo per combo integrate oppure mantenere il routing esterno e verificato.|2026-08-13|adapters/claude/README.md
generic|runtime|Client non catalogato||generic|unverified|unknown|blocked|La directory skill e le capacita del runtime non sono verificabili dal solo nome.|Eseguire l'audit e indicare una directory skill esplicita prima di installare.|2026-08-13|core/COMPATIBILITY.md
cursor|host|Cursor||||host-only||L'host non identifica il runtime agentico attivo.|Indicare il runtime con --target o -Target.||
antigravity|host|Antigravity||||host-only||L'host non identifica il runtime agentico attivo.|Indicare il runtime con --target o -Target.||
vscode|host|Visual Studio Code||||host-only||L'host non identifica il runtime agentico attivo.|Indicare il runtime con --target o -Target.||
terminal|host|Terminale||||host-only||Un terminale puo avviare runtime agentici diversi.|Indicare il runtime con --target o -Target.||
